matchup,player_1,player_2,games_together,coef_log,percent_effect,p_value,r_squared,n_obs
jokic_george,Nikola Jokic,Paul George,3,0.5188955386362677,68.01709406674988,0.00012897934969524857,0.21615571458344196,195
durant_doncic,Kevin Durant,Luka Doncic,3,0.474144231666503,60.663869849394516,0.009625189036453471,0.21475564517270085,195
doncic_booker,Luka Doncic,Devin Booker,3,0.474144231666503,60.663869849394516,0.009625189036453471,0.21475564517270085,195
jokic_curry,Nikola Jokic,Stephen Curry,4,0.4534373682663825,57.371232785023054,0.000262273184040102,0.21597727635960007,195
lillard_brown,Damian Lillard,Jaylen Brown,4,0.4027781166514918,49.59749229105957,0.05596589040742249,0.21449461581386353,195
tatum_lillard,Jayson Tatum,Damian Lillard,4,0.4027781166514918,49.59749229105957,0.05596589040742249,0.21449461581386353,195
giannis_brown,Giannis Antetokounmpo,Jaylen Brown,3,0.3463591849170488,41.39103799041377,0.22689805665854157,0.2122133400560503,195
giannis_tatum,Giannis Antetokounmpo,Jayson Tatum,3,0.3463591849170488,41.39103799041377,0.22689805665854157,0.2122133400560503,195
durant_jokic,Kevin Durant,Nikola Jokic,3,0.3097220517531919,36.30462051730306,0.44756569989178674,0.21174685684582728,195
lillard_brunson,Damian Lillard,Jalen Brunson,3,-0.8499159949494723,-57.25491615301752,0.42768027677990206,0.22740339309258517,195
giannis_brunson,Giannis Antetokounmpo,Jalen Brunson,3,-0.8499159949494723,-57.25491615301752,0.42768027677990206,0.22740339309258517,195
brown_randle,Jaylen Brown,Julius Randle,3,-0.9720184715812379,-62.16813585199845,0.14682427818610627,0.232283591975324,195
