GAME_ID,game_date,matchup,view_count,like_count,comment_count,pace_game,points,pct_pts_from_3pt,pct_fga_from_3pt,close_game,totalallstarsplayed,pct_pts_ft_game,pct_pts_fb_game,dunks,threes_more_than_28ft,highlight_plays,mov,avg_value_billions
21900001,2019-10-22,PELICANS at RAPTORS,51855.0,931.0,91.0,102.79,252.0,0.392857,0.414634,1.0,3,0.194444444444444,0.130952380952381,3.0,0.0,3.0,8.0,3.9
21900002,2019-10-22,LAKERS at CLIPPERS,1118462.0,8858.0,2604.0,97.0,214.0,0.336449,0.385542,0.0,3,0.149532710280374,0.126168224299065,10.0,4.0,14.0,10.0,6.2
21900003,2019-10-23,BULLS at HORNETS,53672.0,688.0,152.0,104.5,251.0,0.38247,0.38342,0.0,0,0.123505976095618,0.183266932270916,13.0,2.0,15.0,1.0,4.575
21900005,2019-10-23,CAVALIERS at MAGIC,30111.0,248.0,21.0,100.0,179.0,0.301676,0.367816,0.0,0,0.11731843575419,0.134078212290503,6.0,1.0,7.0,9.0,3.9500000000000000
21900004,2019-10-23,PISTONS at PACERS,33271.0,316.0,67.0,103.0,229.0,0.248908,0.269461,1.0,1,0.200873362445415,0.0873362445414847,6.0,9.0,15.0,9.0,3.425
21900007,2019-10-23,GRIZZLIES at HEAT,52808.0,567.0,133.0,114.0,221.0,0.162896,0.287356,0.0,1,0.239819004524887,0.144796380090498,12.0,1.0,13.0,19.0,4.15
21900006,2019-10-23,TIMBERWOLVES at NETS,64050.0,720.0,111.0,106.87,253.0,0.332016,0.368421,1.0,0,0.146245059288538,0.110671936758893,5.0,1.0,6.0,1.0,4.425
21900008,2019-10-23,CELTICS at 76ERS,107184.0,793.0,136.0,103.0,200.0,0.21,0.314286,0.0,4,0.23,0.11,5.0,0.0,5.0,14.0,5.2
21900010,2019-10-23,KNICKS at SPURS,57614.0,448.0,81.0,109.5,231.0,0.220779,0.288136,0.0,0,0.181818181818182,0.255411255411255,8.0,0.0,8.0,9.0,5.6
21900009,2019-10-23,WIZARDS at MAVERICKS,64678.0,536.0,95.0,104.0,208.0,0.317308,0.455621,0.0,1,0.201923076923077,0.163461538461538,4.0,0.0,4.0,8.0,4.625
21900011,2019-10-23,THUNDER at JAZZ,43500.0,424.0,85.0,101.0,195.0,0.246154,0.294798,1.0,3,0.17948717948718,0.128205128205128,6.0,1.0,7.0,5.0,3.625
21900012,2019-10-23,KINGS at SUNS,64421.0,657.0,186.0,109.0,219.0,0.287671,0.335135,0.0,1,0.146118721461187,0.17351598173516,11.0,1.0,12.0,29.0,4.525
21900013,2019-10-23,NUGGETS at TRAIL BLAZERS,35753.0,369.0,51.0,102.5,208.0,0.360577,0.357143,1.0,2,0.206730769230769,0.105769230769231,,,,8.0,3.925
21900014,2019-10-24,HAWKS at PISTONS,82640.0,727.0,133.0,97.0,217.0,0.290323,0.397661,0.0,1,0.175115207373272,0.101382488479263,13.0,6.0,19.0,17.0,3.875
21900015,2019-10-24,BUCKS at ROCKETS,288729.0,2001.0,335.0,109.0,228.0,0.421053,0.497354,1.0,4,0.166666666666667,0.192982456140351,,,,6.0,4.9
21900016,2019-10-24,CLIPPERS at WARRIORS,578162.0,3292.0,814.0,107.0,263.0,0.376426,0.413408,0.0,1,0.197718631178707,0.167300380228137,10.0,3.0,13.0,19.0,7.4
21900018,2019-10-25,TIMBERWOLVES at HORNETS,28910.0,279.0,63.0,106.0,220.0,0.327273,0.382857,0.0,0,0.163636363636364,0.1,14.0,3.0,17.0,22.0,3.3
